Name,Address,Surface,Bedrooms,Bath,Plant,Price,Old Price,Latitude,Longitude,Advertiser Name,Advertiser Phone,Description,Characteristics,Energy Efficient,image_urls,Data Source,Date,Url,image_paths
Local comercial en Alquiler,Zaragoza Calle Ramón Pignatelli,110 m²,,,,€ 520/mes,,41.65396881,-0.88626999,Profesional inmobiliario,,Magnífico local en el centro de Zaragoza. Muy luminoso.,"referencia y fecha del anuncio:EK-89642795 - 08/03/2022, contrato:Alquiler, tipología:Actividad comercial | con paredes, superficie:110 m²
                                         -, planta:2 plantas: Sótano (-1), Principal, total de plantas del edificio:2 plantas, disponibilidad:Libre","estado:Óptimo / Reformado, Eficiencia energética:","https://pic.indomio.es/image/1279380359/xxl.jpg,https://pic.indomio.es/image/1279380341/xxl.jpg,https://pic.indomio.es/image/1279380473/xxl.jpg,https://pic.indomio.es/image/1279380361/xxl.jpg,https://pic.indomio.es/image/1279380397/xxl.jpg,https://pic.indomio.es/image/1279380353/xxl.jpg,https://pic.indomio.es/image/1279380369/xxl.jpg,https://pic.indomio.es/image/1279380379/xxl.jpg,https://pic.indomio.es/image/1279380403/xxl.jpg,https://pic.indomio.es/image/1279380387/xxl.jpg,https://pic.indomio.es/image/1279380409/xxl.jpg,https://pic.indomio.es/image/1279380415/xxl.jpg,https://pic.indomio.es/image/1279380421/xxl.jpg,https://pic.indomio.es/image/1279380441/xxl.jpg,https://pic.indomio.es/image/1279380427/xxl.jpg,https://pic.indomio.es/image/1279380447/xxl.jpg,https://pic.indomio.es/image/1279380431/xxl.jpg,https://pic.indomio.es/image/1279380459/xxl.jpg,https://pic.indomio.es/image/1279380455/xxl.jpg,https://pic.indomio.es/image/1279380485/xxl.jpg",indomio,2022-11-30 11:47:47.773058,https://www.indomio.es/anuncios/89642795/,"local-comercial-en-alquiler-0.jpg,local-comercial-en-alquiler-1.jpg,local-comercial-en-alquiler-2.jpg,local-comercial-en-alquiler-3.jpg,local-comercial-en-alquiler-4.jpg,local-comercial-en-alquiler-5.jpg,local-comercial-en-alquiler-6.jpg,local-comercial-en-alquiler-7.jpg,local-comercial-en-alquiler-8.jpg,local-comercial-en-alquiler-9.jpg,local-comercial-en-alquiler-10.jpg,local-comercial-en-alquiler-11.jpg,local-comercial-en-alquiler-12.jpg,local-comercial-en-alquiler-13.jpg,local-comercial-en-alquiler-14.jpg,local-comercial-en-alquiler-15.jpg,local-comercial-en-alquiler-16.jpg,local-comercial-en-alquiler-17.jpg,local-comercial-en-alquiler-18.jpg,local-comercial-en-alquiler-19.jpg"
Local comercial en Alquiler,Zuera,40 m²,,,,€ 300/mes,,41.86841202,-0.78821778,INMOBILIARIA CANDEVANIA,,"Se alquila local comercial compuesto por tienda con dos escaparates, baño y pequeño almacén. Situado en zona céntrica de Zuera, está equipada con todo para cualquier tipo de negocio, con tomas de electricidad, agua, saneamiento, teléfono, ventilación de baños. Se pueden poner en contacto con nosotros por teléfono o nos puede visitar en Avenida Candevanía 20 local, en Zuera. ¡¡¡ SOLICITE VISITA SIN COMPROMISO !!!","referencia y fecha del anuncio:13468357 - 30/11/2022, contrato:Alquiler, tipología:Local comercial, superficie:40 m²","estado:Bueno / Habitable, certificación energética:Inclasificable","https://pic.indomio.es/image/1310366813/xxl.jpg,https://pic.indomio.es/image/1310366815/xxl.jpg,https://pic.indomio.es/image/1310366817/xxl.jpg,https://pic.indomio.es/image/1310366819/xxl.jpg,https://pic.indomio.es/image/1310366821/xxl.jpg,https://pic.indomio.es/image/1310366823/xxl.jpg,https://pic.indomio.es/image/1310366825/xxl.jpg,https://pic.indomio.es/image/1310366827/xxl.jpg,https://pic.indomio.es/image/1310366829/xxl.jpg,https://pic.indomio.es/image/1310366831/xxl.jpg",indomio,2022-11-30 11:47:48.198804,https://www.indomio.es/anuncios/90817965/,"local-comercial-en-alquiler-0.jpg,local-comercial-en-alquiler-1.jpg,local-comercial-en-alquiler-2.jpg,local-comercial-en-alquiler-3.jpg,local-comercial-en-alquiler-4.jpg,local-comercial-en-alquiler-5.jpg,local-comercial-en-alquiler-6.jpg,local-comercial-en-alquiler-7.jpg,local-comercial-en-alquiler-8.jpg,local-comercial-en-alquiler-9.jpg"
Oficina - Despacho en Alquiler,Zaragoza Cadiz,45 m²,,,,€ 275/mes,,41.65103149,-0.8838163,Gti Zaragoza,,"oficinas muy centricas calle cadiz, exteriores. disposicion en dos despachos mas una zona diafana . baños comunes, 45 m2. oficina muy luminosa precio no contractual, sujeto a posibles modificaciones por la propiedad","referencia y fecha del anuncio:1649166971-104574 - 26/11/2022, contrato:Alquiler, tipología:Oficina - Despacho, superficie:45 m²",Eficiencia energética:,"https://pic.indomio.es/image/1320786025/xxl.jpg,https://pic.indomio.es/image/1320786033/xxl.jpg,https://pic.indomio.es/image/1320786037/xxl.jpg,https://pic.indomio.es/image/1320786049/xxl.jpg,https://pic.indomio.es/image/1320786059/xxl.jpg,https://pic.indomio.es/image/1320786081/xxl.jpg,https://pic.indomio.es/image/1320786097/xxl.jpg,https://pic.indomio.es/image/1320786105/xxl.jpg,https://pic.indomio.es/image/1320786109/xxl.jpg",indomio,2022-11-30 11:47:48.612709,https://www.indomio.es/anuncios/91338843/,"oficina-despacho-en-alquiler-0.jpg,oficina-despacho-en-alquiler-1.jpg,oficina-despacho-en-alquiler-2.jpg,oficina-despacho-en-alquiler-3.jpg,oficina-despacho-en-alquiler-4.jpg,oficina-despacho-en-alquiler-5.jpg,oficina-despacho-en-alquiler-6.jpg,oficina-despacho-en-alquiler-7.jpg,oficina-despacho-en-alquiler-8.jpg"
Local comercial en Alquiler,Zaragoza Calle Salvador Minguijón,149 m²,3,2,B,€ 450/mes,,41.6495285,-0.86114001,Fincas Alluse,,"SE ALQUILA local comercial económico de 135 metros en avenida principal del barrio de LAS FUENTES, en la avenida de Salvador Minguijón.","referencia y fecha del anuncio:AL204-2 - 17/09/2022, contrato:Alquiler, tipología:Local comercial, superficie:149 m², habitaciones:3 habitaciones, 2 baños, planta:1 planta: Planta baja, total de plantas del edificio:4 plantas, última actividad:Otro, disponibilidad:Libre, otras características:","año de construcción:1967, estado:Para reformar, calefacción:Individual","https://pic.indomio.es/image/1319361961/xxl.jpg,https://pic.indomio.es/image/1319361963/xxl.jpg,https://pic.indomio.es/image/1319361965/xxl.jpg,https://pic.indomio.es/image/1319361967/xxl.jpg,https://pic.indomio.es/image/1319361969/xxl.jpg,https://pic.indomio.es/image/1319361971/xxl.jpg,https://pic.indomio.es/image/1319361975/xxl.jpg,https://pic.indomio.es/image/1319361979/xxl.jpg,https://pic.indomio.es/image/1319361981/xxl.jpg",indomio,2022-11-30 11:47:49.393032,https://www.indomio.es/anuncios/91273515/,"local-comercial-en-alquiler-0.jpg,local-comercial-en-alquiler-1.jpg,local-comercial-en-alquiler-2.jpg,local-comercial-en-alquiler-3.jpg,local-comercial-en-alquiler-4.jpg,local-comercial-en-alquiler-5.jpg,local-comercial-en-alquiler-6.jpg,local-comercial-en-alquiler-7.jpg,local-comercial-en-alquiler-8.jpg"
"Piso de tres habitaciones entreplanta, Torrero-La Paz-Parque Venecia, Zaragoza",Zaragoza,74 m²,3,1,E,€ 107.000,,41.6281,-0.885022,Franquiciado Tecnocasa: ESTUDIO AMERICA SLU,,"C/ PONTEVEDRA: 3 dormitorios, salón, cocina, baño y despensa. Balcón. Calefacción individual a gas. Aire acondicionado. Puertas de roble. Puerta blindada. Exterior. La finca cuenta con ascensor y el portal esta reformado. Situado en buena ubicación, entre la Avd. América y Lasierra Purroy. Reformado.","referencia y fecha del anuncio:529523 - 30/11/2022, contrato:Venta, tipología:Piso | Tipo de inmueble económico, superficie:74 m², habitaciones:3 dormitorios, 1 baño, cocina independiente, planta:Entreplanta, con ascensor","año de construcción:1968, calefacción:Individual, Aire acondicionado:Individual, Eficiencia energética:, Emisiones de CO₂:","https://pic.indomio.es/image/1333628165/xxl.jpg,https://pic.indomio.es/image/1333628167/xxl.jpg,https://pic.indomio.es/image/1333628169/xxl.jpg,https://pic.indomio.es/image/1333628171/xxl.jpg,https://pic.indomio.es/image/1333628173/xxl.jpg,https://pic.indomio.es/image/1333628175/xxl.jpg,https://pic.indomio.es/image/1333628177/xxl.jpg,https://pic.indomio.es/image/1333628179/xxl.jpg,https://pic.indomio.es/image/1333628181/xxl.jpg,https://pic.indomio.es/image/1333628183/xxl.jpg,https://pic.indomio.es/image/1333628185/xxl.jpg,https://pic.indomio.es/image/1333628187/xxl.jpg,https://pic.indomio.es/image/1333628189/xxl.jpg,https://pic.indomio.es/image/1333628191/xxl.jpg,https://pic.indomio.es/image/1333628193/xxl.jpg",indomio,2022-11-30 11:47:50.697812,https://www.indomio.es/anuncios/91927121/,"piso-de-tres-habitaciones-entreplanta-torrero-la-paz-parque-venecia-zaragoza-0.jpg,piso-de-tres-habitaciones-entreplanta-torrero-la-paz-parque-venecia-zaragoza-1.jpg,piso-de-tres-habitaciones-entreplanta-torrero-la-paz-parque-venecia-zaragoza-2.jpg,piso-de-tres-habitaciones-entreplanta-torrero-la-paz-parque-venecia-zaragoza-3.jpg,piso-de-tres-habitaciones-entreplanta-torrero-la-paz-parque-venecia-zaragoza-4.jpg,piso-de-tres-habitaciones-entreplanta-torrero-la-paz-parque-venecia-zaragoza-5.jpg,piso-de-tres-habitaciones-entreplanta-torrero-la-paz-parque-venecia-zaragoza-6.jpg,piso-de-tres-habitaciones-entreplanta-torrero-la-paz-parque-venecia-zaragoza-7.jpg,piso-de-tres-habitaciones-entreplanta-torrero-la-paz-parque-venecia-zaragoza-8.jpg,piso-de-tres-habitaciones-entreplanta-torrero-la-paz-parque-venecia-zaragoza-9.jpg,piso-de-tres-habitaciones-entreplanta-torrero-la-paz-parque-venecia-zaragoza-10.jpg,piso-de-tres-habitaciones-entreplanta-torrero-la-paz-parque-venecia-zaragoza-11.jpg,piso-de-tres-habitaciones-entreplanta-torrero-la-paz-parque-venecia-zaragoza-12.jpg,piso-de-tres-habitaciones-entreplanta-torrero-la-paz-parque-venecia-zaragoza-13.jpg,piso-de-tres-habitaciones-entreplanta-torrero-la-paz-parque-venecia-zaragoza-14.jpg"
Nave en Alquiler,Zaragoza Romero,212 m²,,,,€ 400/mes,,41.57759857,-0.829615,Gti Zaragoza,,"Nave de 212m2 en uno de los mejores recintos del Polígono Empresarium de Zaragoza. La superficie aproximada es de 150m2 en planta baja y 62m2 de altillo. Situada en recinto cerrado con videovigilancia 24h. Cuenta con instalación eléctrica, aseo y oficina. Llámenos para ampliar información. Tenemos oficina en el mismo polígono. Honorarios profesionales por cuenta de la propiedad.","referencia y fecha del anuncio:1642079591-501428 - 26/11/2022, contrato:Alquiler, tipología:Nave, superficie:212 m²",certificación energética:Inclasificable,"https://pic.indomio.es/image/1318097157/xxl.jpg,https://pic.indomio.es/image/1318097165/xxl.jpg,https://pic.indomio.es/image/1318097255/xxl.jpg,https://pic.indomio.es/image/1318097261/xxl.jpg",indomio,2022-11-30 11:47:52.549223,https://www.indomio.es/anuncios/91216235/,"nave-en-alquiler-0.jpg,nave-en-alquiler-1.jpg,nave-en-alquiler-2.jpg,nave-en-alquiler-3.jpg"
Trastero - Almacén en Alquiler,Zaragoza Calle Maria Moliner,4 m²,,,,€ 60/mes,,41.63962555,-0.88419378,Real Estate Shoppers Aragon,,"SOLO NOS QUEDAN 2 TRASTEROS, APROVECHE LA OPORTUNIDAD SI NECESITA UN LUGAR PARA GUARDAR SUS PERTENECIAS Recién construidos, de obra. Ubicados en planta baja de fácil acceso en la calle María Moliner a escasos metros de Paseo Sagasta y Camino de las Torres. Ya nos quedan solo 2 tamaños, mire el plano con los que están vacantes y elija el que necesite, de 60€ y 65€ mensuales. SI ESTA INTERESADO Contáctenos y se los enseñamos y le informamos. Cuenta con 2 puertas de acceso de seguridad a los trasteros tipo RF (resistente al fuego) y puertas interiores de cada trastero galvanizadas. Tabiques divisorios de los cuartos trasteros realizados con ladriyeso (no son paredes metálicas), con fácil colocación de estanterías. Cada trastero cuenta con su interruptor propio y punto de luz LED. La zona comun de los trasteros tiene una terraza con toma de agua y desagüe donde podrá lavar si desea sus bicicletas u otros objetos También la zonas comun de los trasteros cuentan con detectores de encendido, ventilación por conductos y los correspondientes extintores contra incendios. DISPONE DE CAMARAS PROPIAS DE SEGURIDAD.","referencia y fecha del anuncio:mm21bctr_A - 30/11/2022, contrato:Alquiler, tipología:Trastero - Almacén, superficie:4 m²",estado:Bueno / Habitable,"https://pic.indomio.es/image/1167708377/xxl.jpg,https://pic.indomio.es/image/1141219759/xxl.jpg,https://pic.indomio.es/image/1141219771/xxl.jpg,https://pic.indomio.es/image/1141219777/xxl.jpg,https://pic.indomio.es/image/1141219787/xxl.jpg,https://pic.indomio.es/image/1141219795/xxl.jpg,https://pic.indomio.es/image/1141219803/xxl.jpg,https://pic.indomio.es/image/1167708379/xxl.jpg,https://pic.indomio.es/image/1141219823/xxl.jpg,https://pic.indomio.es/image/1141219833/xxl.jpg,https://pic.indomio.es/image/1141219839/xxl.jpg,https://pic.indomio.es/image/1141219851/xxl.jpg,https://pic.indomio.es/image/1141219865/xxl.jpg,https://pic.indomio.es/image/1141219913/xxl.jpg,https://pic.indomio.es/image/1141219955/xxl.jpg,https://pic.indomio.es/image/1141219969/xxl.jpg,https://pic.indomio.es/image/1163308041/xxl.jpg",indomio,2022-11-30 11:47:52.786806,https://www.indomio.es/anuncios/83536027/,"trastero-almacen-en-alquiler-0.jpg,trastero-almacen-en-alquiler-1.jpg,trastero-almacen-en-alquiler-2.jpg,trastero-almacen-en-alquiler-3.jpg,trastero-almacen-en-alquiler-4.jpg,trastero-almacen-en-alquiler-5.jpg,trastero-almacen-en-alquiler-6.jpg,trastero-almacen-en-alquiler-7.jpg,trastero-almacen-en-alquiler-8.jpg,trastero-almacen-en-alquiler-9.jpg,trastero-almacen-en-alquiler-10.jpg,trastero-almacen-en-alquiler-11.jpg,trastero-almacen-en-alquiler-12.jpg,trastero-almacen-en-alquiler-13.jpg,trastero-almacen-en-alquiler-14.jpg,trastero-almacen-en-alquiler-15.jpg,trastero-almacen-en-alquiler-16.jpg"
Trastero - Almacén en Alquiler,Zaragoza Avenida América 107,5 m²,,,,€ 40/mes,,41.62730026,-0.88650399,FINCAS TORRERO,,"Trasteros en alquiler en Avda. América nº 107 desde 40 euros al mes, comunidad incluida. En planta calle, cómodo acceso, con luz individual. Situados en calle principal. Desde 4 m2 a 5´92 m2. Alquiler por meses. Cámaras de vigilancia. Pase por nuestra agencia y le enseñamos el plano para que elija el que más se le acomode. Fray Julian Garces 24 Fincas Torrero","referencia y fecha del anuncio:061 - 30/11/2022, contrato:Alquiler, tipología:Trastero - Almacén, superficie:5 m²",estado:Nuevo / En construcción,"https://pic.indomio.es/image/1297088659/xxl.jpg,https://pic.indomio.es/image/1297505567/xxl.jpg",indomio,2022-11-30 11:47:53.349153,https://www.indomio.es/anuncios/90391101/,"trastero-almacen-en-alquiler-0.jpg,trastero-almacen-en-alquiler-1.jpg"
Garaje en Alquiler,Zuera Calle avenida zaragoza 15,,,,,€ 45/mes,,41.86650085,-0.79085881,INMOBILIARIA CANDEVANIA,,"Se alquila plaza de garaje en Avenida Zaragoza nº15 en Zuera. Sótano -1 y puerta automática. Se pueden poner en contacto por teléfono o nos puede visitar en Avenida Candevanía 20 local, en Zuera. ¡¡¡ SOLICITE VISITA SIN COMPROMISO !!!","referencia y fecha del anuncio:13468270 - 30/11/2022, contrato:Alquiler, tipología:Garaje - Aparcamiento",,"https://pic.indomio.es/image/1278380071/xxl.jpg,https://pic.indomio.es/image/1278380095/xxl.jpg,https://pic.indomio.es/image/1278380115/xxl.jpg,https://pic.indomio.es/image/1278380141/xxl.jpg,https://pic.indomio.es/image/1278380171/xxl.jpg,https://pic.indomio.es/image/1278380193/xxl.jpg",indomio,2022-11-30 11:47:49.943139,https://www.indomio.es/anuncios/89600081/,"garaje-en-alquiler-0.jpg,garaje-en-alquiler-1.jpg,garaje-en-alquiler-2.jpg,garaje-en-alquiler-3.jpg,garaje-en-alquiler-4.jpg,garaje-en-alquiler-5.jpg"
Oficina - Despacho en Venta,Zaragoza,,,,,€ 144.800,,41.65584183,-0.92929202,Consultores Inmobiliarios Zaragoza,,"Oficina 190 m² en Zaragoza, Zaragoza","referencia y fecha del anuncio:B-7274986 - 01/12/2020, contrato:Venta, tipología:Oficina - Despacho",certificación energética:Inclasificable,"https://pic.indomio.es/image/1083061225/xxl.jpg,https://pic.indomio.es/image/1083061251/xxl.jpg,https://pic.indomio.es/image/1083061267/xxl.jpg,https://pic.indomio.es/image/1083061281/xxl.jpg,https://pic.indomio.es/image/1147632021/xxl.jpg,https://pic.indomio.es/image/1083061307/xxl.jpg,https://pic.indomio.es/image/1147632043/xxl.jpg,https://pic.indomio.es/image/1083061339/xxl.jpg",indomio,2022-11-30 11:47:56.758288,https://www.indomio.es/anuncios/82316439/,"oficina-despacho-en-venta-0.jpg,oficina-despacho-en-venta-1.jpg,oficina-despacho-en-venta-2.jpg,oficina-despacho-en-venta-3.jpg,oficina-despacho-en-venta-4.jpg,oficina-despacho-en-venta-5.jpg,oficina-despacho-en-venta-6.jpg,oficina-despacho-en-venta-7.jpg"
Oficina - Despacho en Venta,Zaragoza FRANCISCO RALLO LAHOZ MRL 25,,,,,€ 144.800,,41.65599823,-0.92900002,Consultores Inmobiliarios Zaragoza,,"Oficina 189 m² en Zaragoza, Zaragoza Oficina de 159 m2 con amplios ventanales, con excelente orientación que permite luz solar todo el día. Precisa acondicionamiento interior, posee las preinstalaciones realizadas y baños instalados. Posibilidad de garajes y trasteros en el mismo edificio.Está ubicada en la calle Francisco Rallo Lahoz, municipio y provincia de Zaragoza. En sus alrededores dispone de todos los servicios, tales como, restaurantes, centros educativos, sanitarios y deportivos, supermercados, sucursales bancarias, entre otros.En cuanto a las comunicaciones, a pocos minutos está la estación de tren de Zaragoza-Delicias y las carreteras cercanas a la zona son la N-232, Z-30 y A-2.","referencia y fecha del anuncio:B-7274986 - 11/05/2021, contrato:Venta, tipología:Oficina - Despacho",certificación energética:Inclasificable,"https://pic.indomio.es/image/1185758021/xxl.jpg,https://pic.indomio.es/image/1185758031/xxl.jpg,https://pic.indomio.es/image/1185758041/xxl.jpg,https://pic.indomio.es/image/1185758053/xxl.jpg,https://pic.indomio.es/image/1185758065/xxl.jpg,https://pic.indomio.es/image/1185758075/xxl.jpg,https://pic.indomio.es/image/1185758083/xxl.jpg,https://pic.indomio.es/image/1185758101/xxl.jpg",indomio,2022-11-30 11:47:57.335198,https://www.indomio.es/anuncios/84826491/,"oficina-despacho-en-venta-0.jpg,oficina-despacho-en-venta-1.jpg,oficina-despacho-en-venta-2.jpg,oficina-despacho-en-venta-3.jpg,oficina-despacho-en-venta-4.jpg,oficina-despacho-en-venta-5.jpg,oficina-despacho-en-venta-6.jpg,oficina-despacho-en-venta-7.jpg"
Oficina - Despacho en Venta,Zaragoza,,,,B,€ 121.500,,41.65584183,-0.92929202,Consultores Inmobiliarios Zaragoza,,"Oficina 163 m² en Zaragoza, Zaragoza","referencia y fecha del anuncio:B-7274988 - 19/05/2020, contrato:Venta, tipología:Oficina - Despacho, planta:Planta baja",certificación energética:Inclasificable,"https://pic.indomio.es/image/1059203035/xxl.jpg,https://pic.indomio.es/image/1060932007/xxl.jpg,https://pic.indomio.es/image/1059203039/xxl.jpg",indomio,2022-11-30 11:47:57.720345,https://www.indomio.es/anuncios/81840619/,"oficina-despacho-en-venta-0.jpg,oficina-despacho-en-venta-1.jpg,oficina-despacho-en-venta-2.jpg"
Oficina - Despacho en Venta,Zaragoza Calle Francisco de Vitoria,80 m²,4,1,,€ 79.000,,41.64609909,-0.88019282,Fincas Numancia,,Vendemos oficina en pleno centro de Zaragoza con calefacción central y aire acondicionado. Perfecta como inversión o para uso propio. No deje pasar esta oportunidad.,"referencia y fecha del anuncio:Of-Fco-Vitoria - 18/02/2021, contrato:Venta, tipología:Oficina - Despacho, superficie:80 m², habitaciones:4 habitaciones, 1 baño, disponibilidad:Libre, otras características:","Aire acondicionado:Individual, frío, certificación energética:Inclasificable","https://pic.indomio.es/image/1248702895/xxl.jpg,https://pic.indomio.es/image/1248702901/xxl.jpg,https://pic.indomio.es/image/1248702909/xxl.jpg,https://pic.indomio.es/image/1248702925/xxl.jpg,https://pic.indomio.es/image/1248702933/xxl.jpg,https://pic.indomio.es/image/1248702939/xxl.jpg,https://pic.indomio.es/image/1248702949/xxl.jpg,https://pic.indomio.es/image/1248702953/xxl.jpg",indomio,2022-11-30 11:47:58.365770,https://www.indomio.es/anuncios/87953067/,"oficina-despacho-en-venta-0.jpg,oficina-despacho-en-venta-1.jpg,oficina-despacho-en-venta-2.jpg,oficina-despacho-en-venta-3.jpg,oficina-despacho-en-venta-4.jpg,oficina-despacho-en-venta-5.jpg,oficina-despacho-en-venta-6.jpg,oficina-despacho-en-venta-7.jpg"
Terreno rústico en Venta,Zuera Calle candevania 18,,,,,€ 150.000,,41.86987686,-0.7890532,INMOBILIARIA CANDEVANIA,,"Se vende terreno urbano en Avenida Candevania de Zuera. Dispone de 217m2 de parcela. Usos permitidos: Residencial, industrial-almacén, hotelero, comercial, oficina, salas de Reunión, asistencial, deportivo, sanitario y garaje-estacionamiento. Tiene una edificabilidad de aproximadamente 564 m² construidos, repartido en planta baja + 2. Tiene una ocupación en planta del 100 % del terreno en planta baja y de 12 metros en plantas alzadas. Se pueden poner en contacto con nosotros por teléfono o nos puede visitar en Avenida Candevanía 20, local, en Zuera. ¡¡¡ SOLICITE VISITA SIN COMPROMISO !!","referencia y fecha del anuncio:13468240 - 30/11/2022, contrato:Venta, tipología:Terreno rústico",,"https://pic.indomio.es/image/1269389093/xxl.jpg,https://pic.indomio.es/image/1269389109/xxl.jpg,https://pic.indomio.es/image/1269389125/xxl.jpg,https://pic.indomio.es/image/1269389139/xxl.jpg,https://pic.indomio.es/image/1269389147/xxl.jpg,https://pic.indomio.es/image/1269389155/xxl.jpg,https://pic.indomio.es/image/1269389167/xxl.jpg,https://pic.indomio.es/image/1269389177/xxl.jpg,https://pic.indomio.es/image/1269389187/xxl.jpg,https://pic.indomio.es/image/1269389195/xxl.jpg,https://pic.indomio.es/image/1269389203/xxl.jpg,https://pic.indomio.es/image/1269389209/xxl.jpg,https://pic.indomio.es/image/1269389219/xxl.jpg,https://pic.indomio.es/image/1269389223/xxl.jpg,https://pic.indomio.es/image/1269389227/xxl.jpg,https://pic.indomio.es/image/1269389237/xxl.jpg,https://pic.indomio.es/image/1269389249/xxl.jpg,https://pic.indomio.es/image/1269389265/xxl.jpg,https://pic.indomio.es/image/1269389273/xxl.jpg,https://pic.indomio.es/image/1269389285/xxl.jpg",indomio,2022-11-30 11:47:53.882447,https://www.indomio.es/anuncios/89154563/,"terreno-rustico-en-venta-0.jpg,terreno-rustico-en-venta-1.jpg,terreno-rustico-en-venta-2.jpg,terreno-rustico-en-venta-3.jpg,terreno-rustico-en-venta-4.jpg,terreno-rustico-en-venta-5.jpg,terreno-rustico-en-venta-6.jpg,terreno-rustico-en-venta-7.jpg,terreno-rustico-en-venta-8.jpg,terreno-rustico-en-venta-9.jpg,terreno-rustico-en-venta-10.jpg,terreno-rustico-en-venta-11.jpg,terreno-rustico-en-venta-12.jpg,terreno-rustico-en-venta-13.jpg,terreno-rustico-en-venta-14.jpg,terreno-rustico-en-venta-15.jpg,terreno-rustico-en-venta-16.jpg,terreno-rustico-en-venta-17.jpg,terreno-rustico-en-venta-18.jpg,terreno-rustico-en-venta-19.jpg"
